test, device, access, stride, pattern, starting cpu, ending cpu, buffer size, memory type, delay injection, latency, bandwidth
bw, pmem0p1, seq, 256, W3, 0, 12, 400000, pmem, 0, 3343.43, 888.3
bw, pmem0p1, rand, 1024, R, 0, 8, 400000, pmem, 0, 2938.19, 1756.1
bw, pmem0p1, rand, 256, W7, 0, 16, 400000, pmem, 0, 1319.56, 846.9
bw, pmem0p1, rand, 512, W7, 0, 8, 400000, pmem, 0, 891.13, 854.4
bw, pmem0p1, seq, 1024, W3, 0, 12, 400000, pmem, 0, 3973.63, 943.3
bw, pmem0p1, seq, 1024, R, 0, 12, 400000, pmem, 0, 4543.33, 1663.6
bw, pmem0p1, seq, 256, W3, 0, 20, 400000, pmem, 0, 5207.97, 840.5
bw, pmem0p1, seq, 128, W3, 0, 16, 400000, pmem, 0, 2968.45, 1014.5
bw, pmem0p1, seq, 256, R, 0, 20, 400000, pmem, 0, 8964.01, 1096.1
bw, pmem0p1, rand, 512, W5, 0, 20, 400000, pmem, 0, 6356.33, 666.9
bw, pmem0p1, seq, 2048, W10, 0, 8, 400000, pmem, 0, 948.18, 830.4
bw, pmem0p1, seq, 256, W7, 0, 8, 400000, pmem, 0, 955.35, 836.1
bw, pmem0p1, seq, 1024, W3, 0, 8, 400000, pmem, 0, 2533.95, 960.6
bw, pmem0p1, rand, 2048, R, 0, 12, 400000, pmem, 0, 3760.87, 1750.8
bw, pmem0p1, seq, 128, W8, 0, 8, 400000, pmem, 0, 527.6, 1212.8
bw, pmem0p1, seq, 1024, W6, 0, 20, 400000, pmem, 0, 1109.98, 418.2
bw, pmem0p1, seq, 512, W6, 0, 12, 400000, pmem, 0, 923.97, 438.9
bw, pmem0p1, rand, 2048, W5, 0, 16, 400000, pmem, 0, 6155.6, 664.0
bw, pmem0p1, rand, 512, R, 0, 16, 400000, pmem, 0, 4369.03, 1746.0
bw, pmem0p1, seq, 1024, W7, 0, 12, 400000, pmem, 0, 900.52, 826.5
bw, pmem0p1, rand, 64, W6, 0, 8, 400000, pmem, 0, 417.28, 546.3
bw, pmem0p1, rand, 64, W2, 0, 8, 400000, pmem, 0, 2613.8, 858.0
bw, pmem0p1, seq, 64, W5, 0, 8, 400000, pmem, 0, 2791.43, 830.4
bw, pmem0p1, seq, 128, R, 0, 8, 400000, pmem, 0, 2101.28, 3039.9
bw, pmem0p1, seq, 64, W6, 0, 16, 400000, pmem, 0, 592.14, 788.0
bw, pmem0p1, seq, 128, W7, 0, 16, 400000, pmem, 0, 542.02, 1224.7
bw, pmem0p1, seq, 1024, W5, 0, 20, 400000, pmem, 0, 6384.53, 667.9
bw, pmem0p1, seq, 64, W5, 0, 12, 400000, pmem, 0, 4601.94, 799.8
bw, pmem0p1, seq, 2048, W7, 0, 20, 400000, pmem, 0, 1074.8, 813.8
bw, pmem0p1, seq, 2048, W7, 0, 16, 400000, pmem, 0, 969.5, 819.7
bw, pmem0p1, seq, 64, W10, 0, 8, 400000, pmem, 0, 513.66, 2898.7
