test, device, access, stride, pattern, starting cpu, ending cpu, buffer size, memory type, delay injection, latency, bandwidth
bw, pmem0p1, rand, 64, R, 0, 2, 400000, pmem, 0, 293.9, 2005.3
bw, pmem0p1, seq, 2048, W7, 0, 2, 400000, pmem, 0, 1009.14, 861.1
bw, pmem0p1, rand, 128, W7, 0, 2, 400000, pmem, 0, 564.09, 925.7
bw, pmem0p1, seq, 128, W3, 0, 4, 400000, pmem, 0, 680.55, 1378.5
bw, pmem0p1, rand, 128, W5, 0, 2, 400000, pmem, 0, 559.81, 764.9
bw, pmem0p1, seq, 256, W5, 0, 4, 400000, pmem, 0, 1667.21, 687.0
bw, pmem0p1, seq, 2048, W5, 0, 4, 400000, pmem, 0, 1930.77, 688.6
bw, pmem0p1, seq, 1024, W5, 0, 2, 400000, pmem, 0, 989.34, 722.2
bw, pmem0p1, seq, 512, W10, 0, 4, 400000, pmem, 0, 1065.24, 851.5
bw, pmem0p1, seq, 512, W2, 0, 4, 400000, pmem, 0, 1091.12, 866.0
bw, pmem0p1, rand, 512, R, 0, 4, 400000, pmem, 0, 1589.85, 1767.6
bw, pmem0p1, seq, 1024, W8, 0, 2, 400000, pmem, 0, 977.55, 693.6
bw, pmem0p1, rand, 2048, W6, 0, 4, 400000, pmem, 0, 971.7, 450.7
bw, pmem0p1, seq, 512, W5, 0, 4, 400000, pmem, 0, 1864.87, 693.0
bw, pmem0p1, seq, 64, W3, 0, 4, 400000, pmem, 0, 536.55, 1577.9
bw, pmem0p1, seq, 64, W3, 0, 8, 400000, pmem, 0, 1404.1, 1407.1
bw, pmem0p1, seq, 128, W2, 0, 2, 400000, pmem, 0, 588.0, 1187.8
bw, pmem0p1, seq, 512, W3, 0, 2, 400000, pmem, 0, 1118.21, 1001.1
bw, pmem0p1, seq, 128, W7, 0, 2, 400000, pmem, 0, 537.24, 1588.8
bw, pmem0p1, seq, 256, W2, 0, 2, 400000, pmem, 0, 1035.98, 873.9
bw, pmem0p1, seq, 64, W10, 0, 4, 400000, pmem, 0, 632.68, 3244.0
bw, pmem0p1, rand, 128, W2, 0, 4, 400000, pmem, 0, 891.43, 892.4
bw, pmem0p1, rand, 2048, R, 0, 2, 400000, pmem, 0, 805.94, 1806.4
bw, pmem0p1, seq, 256, W10, 0, 4, 400000, pmem, 0, 1115.4, 840.9
bw, pmem0p1, seq, 2048, R, 0, 2, 400000, pmem, 0, 669.86, 1752.3
bw, pmem0p1, seq, 64, W5, 0, 8, 400000, pmem, 0, 2804.08, 829.6
bw, pmem0p1, seq, 256, W7, 0, 4, 400000, pmem, 0, 1121.52, 844.4
bw, pmem0p1, rand, 2048, W7, 0, 2, 400000, pmem, 0, 968.47, 865.1
bw, pmem0p1, rand, 2048, W5, 0, 2, 400000, pmem, 0, 1027.23, 715.9
bw, pmem0p1, seq, 2048, W3, 0, 2, 400000, pmem, 0, 1128.86, 1004.5
bw, pmem0p1, seq, 512, W8, 0, 2, 400000, pmem, 0, 978.31, 691.8
bw, pmem0p1, rand, 256, W7, 0, 4, 400000, pmem, 0, 971.66, 866.7
bw, pmem0p1, seq, 2048, W2, 0, 2, 400000, pmem, 0, 1052.66, 877.2
bw, pmem0p1, rand, 2048, W6, 0, 2, 400000, pmem, 0, 984.09, 453.6
bw, pmem0p1, seq, 64, W7, 0, 8, 400000, pmem, 0, 559.71, 2988.4
bw, pmem0p1, rand, 256, W7, 0, 2, 400000, pmem, 0, 944.42, 869.4
bw, pmem0p1, seq, 256, W5, 0, 2, 400000, pmem, 0, 1000.12, 712.8
bw, pmem0p1, rand, 64, W5, 0, 2, 400000, pmem, 0, 427.26, 813.0
bw, pmem0p1, rand, 256, W6, 0, 2, 400000, pmem, 0, 923.68, 459.6
bw, pmem0p1, seq, 2048, W2, 0, 4, 400000, pmem, 0, 1161.48, 865.0
bw, pmem0p1, rand, 2048, W5, 0, 4, 400000, pmem, 0, 2104.68, 683.5
bw, pmem0p1, rand, 256, W6, 0, 4, 400000, pmem, 0, 919.62, 460.4
bw, pmem0p1, seq, 64, W3, 0, 2, 400000, pmem, 0, 430.06, 1781.8
bw, pmem0p1, seq, 128, W10, 0, 2, 400000, pmem, 0, 549.43, 1598.4
bw, pmem0p1, seq, 64, W8, 0, 4, 400000, pmem, 0, 442.63, 2599.2
bw, pmem0p1, rand, 64, W6, 0, 2, 400000, pmem, 0, 418.44, 561.0
bw, pmem0p1, seq, 64, R, 0, 4, 400000, pmem, 0, 746.26, 6665.8
bw, pmem0p1, seq, 512, W7, 0, 2, 400000, pmem, 0, 991.1, 858.7
bw, pmem0p1, seq, 2048, W6, 0, 4, 400000, pmem, 0, 977.63, 455.6
bw, pmem0p1, seq, 512, W3, 0, 4, 400000, pmem, 0, 1289.04, 983.0
bw, pmem0p1, seq, 2048, W10, 0, 2, 400000, pmem, 0, 1024.43, 860.3
bw, pmem0p1, seq, 128, W5, 0, 4, 400000, pmem, 0, 1353.16, 802.6
bw, pmem0p1, seq, 128, W7, 0, 4, 400000, pmem, 0, 654.66, 1553.7
bw, pmem0p1, seq, 64, W5, 0, 4, 400000, pmem, 0, 1510.22, 877.8
bw, pmem0p1, rand, 512, W5, 0, 4, 400000, pmem, 0, 1987.3, 690.1
bw, pmem0p1, seq, 512, W10, 0, 2, 400000, pmem, 0, 1006.26, 861.8
bw, pmem0p1, seq, 256, W3, 0, 2, 400000, pmem, 0, 1165.7, 1005.1
bw, pmem0p1, seq, 2048, W5, 0, 2, 400000, pmem, 0, 1022.01, 717.7
