test, device, access, stride, pattern, starting cpu, ending cpu, buffer size, memory type, delay injection, latency, bandwidth
bw, pmem0p1, seq, 2048, W7, 0, 23, 400000, pmem, 0, 1286.9, 806.1
bw, pmem0p1, seq, 256, W10, 0, 23, 400000, pmem, 0, 1186.04, 785.6
bw, pmem10, rand, 4096, R, 0, 23, 400000, pmem, 0, 5679.02, 1727.8
bw, pmem0p1, seq, 32, W3, 0, 23, 400000, pmem, 0, 1727.19, 2528.8
bw, pmem0p1, seq, 256, W5, 0, 23, 400000, pmem, 0, 6933.36, 627.3
bw, pmem0p1, rand, 128, W2, 0, 23, 400000, pmem, 0, 5751.38, 840.7
bw, pmem0p1, seq, 512, W8, 0, 23, 400000, pmem, 0, 1179.27, 641.9
bw, pmem0p1, rand, 128, W5, 0, 23, 400000, pmem, 0, 7018.68, 670.8
bw, pmem0p1, rand, 512, W2, 0, 23, 400000, pmem, 0, 6080.29, 835.8
bw, pmem0p1, seq, 128, W2, 0, 23, 400000, pmem, 0, 4490.45, 865.4
bw, pmem0p1, seq, 4096, W2, 0, 23, 400000, pmem, 0, 5416.28, 817.6
bw, pmem0p1, seq, 4096, R, 0, 23, 400000, pmem, 0, 8241.11, 1455.1
bw, pmem0p1, seq, 4096, W8, 0, 23, 400000, pmem, 0, 1721.36, 628.5
bw, pmem0p1, seq, 512, W6, 0, 23, 400000, pmem, 0, 1268.2, 409.4
bw, pmem0p1, seq, 32, W7, 0, 23, 400000, pmem, 0, 229.3, 3376.6
bw, pmem0p1, rand, 512, W7, 0, 23, 400000, pmem, 0, 2537.82, 833.0
bw, pmem0p1, rand, 512, R, 0, 23, 400000, pmem, 0, 5340.34, 1746.3
bw, pmem0p1, rand, 64, R, 0, 23, 400000, pmem, 0, 5023.18, 1753.0
bw, pmem0p1, rand, 16, W5, 0, 23, 400000, pmem, 0, 2282.81, 2911.5
bw, pmem0p1, rand, 4096, W5, 0, 23, 400000, pmem, 0, 6445.37, 660.4
bw, pmem0p1, seq, 256, W3, 0, 23, 400000, pmem, 0, 5607.97, 828.1
bw, pmem0p1, rand, 256, W2, 0, 23, 400000, pmem, 0, 5949.79, 837.2
bw, pmem0p1, seq, 16, W5, 0, 23, 400000, pmem, 0, 1428.39, 3215.3
bw, pmem0p1, seq, 1024, W2, 0, 23, 400000, pmem, 0, 5823.37, 820.4
bw, pmem0p1, rand, 512, W5, 0, 23, 400000, pmem, 0, 7417.93, 666.5
bw, pmem0p1, seq, 2048, W2, 0, 23, 400000, pmem, 0, 5800.97, 810.1
bw, pmem0p1, rand, 128, W7, 0, 23, 400000, pmem, 0, 2136.42, 845.5
bw, pmem0p1, rand, 32, W2, 0, 23, 400000, pmem, 0, 2400.16, 1694.2
bw, pmem0p1, seq, 1024, W8, 0, 23, 400000, pmem, 0, 1291.58, 636.8
bw, pmem0p1, seq, 4096, W10, 0, 23, 400000, pmem, 0, 1670.24, 798.0
bw, pmem0p1, seq, 4096, W7, 0, 23, 400000, pmem, 0, 1687.97, 799.6
bw, pmem0p1, rand, 32, W6, 0, 23, 400000, pmem, 0, 647.7, 342.1
bw, pmem0p1, rand, 4096, W6, 0, 23, 400000, pmem, 0, 2161.85, 390.2
bw, pmem0p1, seq, 16, W10, 0, 23, 400000, pmem, 0, 109.27, 4507.3
bw, pmem0p1, rand, 128, R, 0, 23, 400000, pmem, 0, 5198.09, 1748.2
bw, pmem0p1, rand, 256, W5, 0, 23, 400000, pmem, 0, 7376.69, 665.7
bw, pmem0p1, rand, 16, R, 0, 23, 400000, pmem, 0, 1667.51, 8920.3
bw, pmem0p1, seq, 64, W8, 0, 23, 400000, pmem, 0, 951.17, 1150.8
bw, pmem0p1, rand, 16, W6, 0, 23, 400000, pmem, 0, 327.92, 405.0
bw, pmem0p1, seq, 1024, W10, 0, 23, 400000, pmem, 0, 1255.96, 807.2
bw, pmem10, seq, 4096, R, 0, 23, 400000, pmem, 0, 8461.12, 1446.1
bw, pmem0p1, rand, 2048, R, 0, 23, 400000, pmem, 0, 5445.23, 1749.0
bw, pmem0p1, seq, 128, W8, 0, 23, 400000, pmem, 0, 861.52, 849.4
bw, pmem0p1, rand, 64, W2, 0, 23, 400000, pmem, 0, 5733.27, 844.2
bw, pmem0p1, seq, 4096, W6, 0, 23, 400000, pmem, 0, 1911.76, 392.8
bw, pmem0p1, seq, 512, W2, 0, 23, 400000, pmem, 0, 5804.08, 825.6
bw, pmem0p1, seq, 2048, W8, 0, 23, 400000, pmem, 0, 1289.58, 635.9
bw, pmem0p1, rand, 32, W5, 0, 23, 400000, pmem, 0, 3752.14, 1418.0
bw, pmem0p1, seq, 256, W8, 0, 23, 400000, pmem, 0, 1200.35, 633.6
bw, pmem0p1, seq, 1024, W3, 0, 23, 400000, pmem, 0, 5282.87, 928.2
bw, pmem0p1, rand, 2048, W5, 0, 23, 400000, pmem, 0, 6782.55, 663.8
bw, pmem0p1, rand, 32, W7, 0, 23, 400000, pmem, 0, 929.69, 742.5
bw, pmem0p1, seq, 512, W3, 0, 23, 400000, pmem, 0, 5205.35, 911.4
bw, pmem0p1, seq, 2048, W5, 0, 23, 400000, pmem, 0, 6417.1, 665.8
bw, pmem0p1, seq, 64, W6, 0, 23, 400000, pmem, 0, 1396.44, 632.3
bw, pmem0p1, rand, 1024, W6, 0, 23, 400000, pmem, 0, 1825.94, 395.6
bw, pmem0p1, rand, 1024, W7, 0, 23, 400000, pmem, 0, 2484.59, 829.5
bw, pmem0p1, rand, 2048, W7, 0, 23, 400000, pmem, 0, 2446.24, 827.1
bw, pmem0p1, rand, 2048, W6, 0, 23, 400000, pmem, 0, 1935.16, 393.7
bw, pmem0p1, seq, 32, W2, 0, 23, 400000, pmem, 0, 2305.71, 2093.5
bw, pmem0p1, rand, 4096, R, 0, 23, 400000, pmem, 0, 5608.87, 1748.2
