start test (v3) Wed Nov 28 22:57:33 EST 2018
Wed Nov 28 23:02:14 2018, random_write, p, DRAM, 1, 9291217554
Wed Nov 28 23:02:14 2018, random_write, p, DRAM, 2, 9343091538
Wed Nov 28 23:02:14 2018, random_write, p, DRAM, 3, 9383017350
Wed Nov 28 23:02:14 2018, random_write, p, DRAM, 4, 9512912862
Wed Nov 28 23:02:14 2018, random_write, p, DRAM, 5, 10054997468
Wed Nov 28 23:02:14 2018, random_write, s, /mnt/pmem0/copy-test, 23, 10865975824
Wed Nov 28 23:02:38 2018, backwards_write, p, DRAM, 1, 5463824046
Wed Nov 28 23:02:38 2018, backwards_write, p, DRAM, 2, 5776096372
Wed Nov 28 23:02:38 2018, backwards_write, p, DRAM, 3, 5229808664
Wed Nov 28 23:02:38 2018, backwards_write, p, DRAM, 4, 6194164892
Wed Nov 28 23:02:38 2018, backwards_write, p, DRAM, 5, 5879252930
Wed Nov 28 23:02:38 2018, backwards_write, s, /mnt/pmem0/copy-test, 23, 7000350916
Wed Nov 28 23:02:59 2018, sequential_write, p, DRAM, 1, 786085902
Wed Nov 28 23:02:59 2018, sequential_write, p, DRAM, 2, 1377687420
Wed Nov 28 23:02:59 2018, sequential_write, p, DRAM, 3, 1888021596
Wed Nov 28 23:02:59 2018, sequential_write, p, DRAM, 4, 1628176032
Wed Nov 28 23:02:59 2018, sequential_write, p, DRAM, 5, 1169256340
Wed Nov 28 23:02:59 2018, sequential_write, p, DRAM, 6, 995369732
Wed Nov 28 23:02:59 2018, sequential_write, s, /mnt/pmem0/copy-test, 23, 1900916766
Wed Nov 28 23:03:06 2018, random_write, p, DRAM, 1, 9306620312
Wed Nov 28 23:03:06 2018, random_write, p, DRAM, 2, 9365713644
Wed Nov 28 23:03:06 2018, random_write, p, DRAM, 3, 9420156392
Wed Nov 28 23:03:06 2018, random_write, p, DRAM, 4, 9531061908
Wed Nov 28 23:03:06 2018, random_write, p, DRAM, 5, 9558360438
Wed Nov 28 23:03:06 2018, random_write, p, DRAM, 6, 9964654264
Wed Nov 28 23:03:06 2018, random_write, s, /mnt/pmem0/copy-test, 23, 10890849524
Wed Nov 28 23:03:31 2018, backwards_write, p, DRAM, 1, 6170247242
Wed Nov 28 23:03:31 2018, backwards_write, p, DRAM, 2, 5540006628
Wed Nov 28 23:03:31 2018, backwards_write, p, DRAM, 3, 5222173562
Wed Nov 28 23:03:31 2018, backwards_write, p, DRAM, 4, 5221851344
Wed Nov 28 23:03:31 2018, backwards_write, p, DRAM, 5, 6327338668
Wed Nov 28 23:03:31 2018, backwards_write, p, DRAM, 6, 5838285004
Wed Nov 28 23:03:31 2018, backwards_write, s, /mnt/pmem0/copy-test, 23, 7178711328
Wed Nov 28 23:03:52 2018, sequential_write, p, DRAM, 1, 747251962
Wed Nov 28 23:03:52 2018, sequential_write, p, DRAM, 2, 1824074294
Wed Nov 28 23:03:52 2018, sequential_write, p, DRAM, 3, 1155927348
Wed Nov 28 23:03:52 2018, sequential_write, p, DRAM, 4, 2079512944
Wed Nov 28 23:03:52 2018, sequential_write, p, DRAM, 5, 1353366194
Wed Nov 28 23:03:52 2018, sequential_write, p, DRAM, 6, 947748248
Wed Nov 28 23:03:52 2018, sequential_write, p, DRAM, 7, 1551009468
Wed Nov 28 23:03:52 2018, sequential_write, s, /mnt/pmem0/copy-test, 23, 1924860224
Wed Nov 28 23:03:59 2018, random_write, p, DRAM, 1, 9578940006
Wed Nov 28 23:03:59 2018, random_write, p, DRAM, 2, 9413959674
Wed Nov 28 23:03:59 2018, random_write, p, DRAM, 3, 9452566948
Wed Nov 28 23:03:59 2018, random_write, p, DRAM, 4, 9560614568
Wed Nov 28 23:03:59 2018, random_write, p, DRAM, 5, 9582923318
Wed Nov 28 23:03:59 2018, random_write, p, DRAM, 6, 9450037942
Wed Nov 28 23:03:59 2018, random_write, p, DRAM, 7, 9910868314
Wed Nov 28 23:03:59 2018, random_write, s, /mnt/pmem0/copy-test, 23, 10886591884
Wed Nov 28 23:04:23 2018, backwards_write, p, DRAM, 1, 6556380104
Wed Nov 28 23:04:23 2018, backwards_write, p, DRAM, 2, 5545866730
Wed Nov 28 23:04:23 2018, backwards_write, p, DRAM, 3, 5215487554
Wed Nov 28 23:04:23 2018, backwards_write, p, DRAM, 4, 5218493042
Wed Nov 28 23:04:23 2018, backwards_write, p, DRAM, 5, 6245697668
Wed Nov 28 23:04:23 2018, backwards_write, p, DRAM, 6, 5851164524
Wed Nov 28 23:04:23 2018, backwards_write, p, DRAM, 7, 6120474268
Wed Nov 28 23:04:23 2018, backwards_write, s, /mnt/pmem0/copy-test, 23, 7359653824
Wed Nov 28 23:04:44 2018, sequential_write, p, DRAM, 1, 894160752
Wed Nov 28 23:04:44 2018, sequential_write, p, DRAM, 2, 1724798288
Wed Nov 28 23:04:44 2018, sequential_write, p, DRAM, 3, 743785788
Wed Nov 28 23:04:44 2018, sequential_write, p, DRAM, 4, 2104727004
