Wed Apr  3 11:19:33 2019, random_write, s, DRAM, 34, 9808926976
Wed Apr  3 11:19:57 2019, backwards_write, p, /mnt/pmem7/copy-test, 25, 3736324556
Wed Apr  3 11:19:57 2019, backwards_write, s, DRAM, 26, 2582979684
Wed Apr  3 11:19:57 2019, backwards_write, s, DRAM, 27, 967039116
Wed Apr  3 11:19:57 2019, backwards_write, s, DRAM, 28, 909141512
Wed Apr  3 11:19:57 2019, backwards_write, s, DRAM, 29, 757087972
Wed Apr  3 11:19:57 2019, backwards_write, s, DRAM, 30, 790682570
Wed Apr  3 11:19:57 2019, backwards_write, s, DRAM, 31, 830962908
Wed Apr  3 11:19:57 2019, backwards_write, s, DRAM, 32, 866162804
Wed Apr  3 11:19:57 2019, backwards_write, s, DRAM, 33, 2329344552
Wed Apr  3 11:19:57 2019, backwards_write, s, DRAM, 34, 749092556
Wed Apr  3 11:19:59 2019, sequential_write, p, /mnt/pmem7/copy-test, 25, 3215932514
Wed Apr  3 11:19:59 2019, sequential_write, s, DRAM, 26, 1399410394
Wed Apr  3 11:19:59 2019, sequential_write, s, DRAM, 27, 1016352476
Wed Apr  3 11:19:59 2019, sequential_write, s, DRAM, 28, 1622258252
Wed Apr  3 11:19:59 2019, sequential_write, s, DRAM, 29, 1742992894
Wed Apr  3 11:19:59 2019, sequential_write, s, DRAM, 30, 1854346944
Wed Apr  3 11:19:59 2019, sequential_write, s, DRAM, 31, 1289949032
Wed Apr  3 11:19:59 2019, sequential_write, s, DRAM, 32, 1093434184
Wed Apr  3 11:19:59 2019, sequential_write, s, DRAM, 33, 943077596
Wed Apr  3 11:19:59 2019, sequential_write, s, DRAM, 34, 1189144266
Wed Apr  3 11:19:59 2019, sequential_write, s, DRAM, 35, 1517996168
Wed Apr  3 11:20:07 2019, random_write, p, /mnt/pmem7/copy-test, 25, 11264864954
Wed Apr  3 11:20:07 2019, random_write, s, DRAM, 26, 9059671874
Wed Apr  3 11:20:07 2019, random_write, s, DRAM, 27, 9098446282
Wed Apr  3 11:20:07 2019, random_write, s, DRAM, 28, 9243456644
Wed Apr  3 11:20:07 2019, random_write, s, DRAM, 29, 9265299738
Wed Apr  3 11:20:07 2019, random_write, s, DRAM, 30, 9147364622
Wed Apr  3 11:20:07 2019, random_write, s, DRAM, 31, 9069558046
Wed Apr  3 11:20:07 2019, random_write, s, DRAM, 32, 9090527810
Wed Apr  3 11:20:07 2019, random_write, s, DRAM, 33, 9158721126
Wed Apr  3 11:20:07 2019, random_write, s, DRAM, 34, 10289179480
Wed Apr  3 11:20:07 2019, random_write, s, DRAM, 35, 9841791336
Wed Apr  3 11:20:33 2019, backwards_write, p, /mnt/pmem7/copy-test, 25, 3866620578
Wed Apr  3 11:20:33 2019, backwards_write, s, DRAM, 26, 957951014
Wed Apr  3 11:20:33 2019, backwards_write, s, DRAM, 27, 750600578
Wed Apr  3 11:20:33 2019, backwards_write, s, DRAM, 28, 2728244878
Wed Apr  3 11:20:33 2019, backwards_write, s, DRAM, 29, 903752002
Wed Apr  3 11:20:33 2019, backwards_write, s, DRAM, 30, 795126708
Wed Apr  3 11:20:33 2019, backwards_write, s, DRAM, 31, 831858166
Wed Apr  3 11:20:33 2019, backwards_write, s, DRAM, 32, 1034670354
Wed Apr  3 11:20:33 2019, backwards_write, s, DRAM, 33, 750261546
Wed Apr  3 11:20:33 2019, backwards_write, s, DRAM, 34, 756947958
Wed Apr  3 11:20:33 2019, backwards_write, s, DRAM, 35, 2512348228
Wed Apr  3 11:20:36 2019, sequential_write, p, /mnt/pmem7/copy-test, 25, 3401277144
Wed Apr  3 11:20:36 2019, sequential_write, s, DRAM, 26, 1572183240
Wed Apr  3 11:20:36 2019, sequential_write, s, DRAM, 27, 1462038818
Wed Apr  3 11:20:36 2019, sequential_write, s, DRAM, 28, 1815753090
Wed Apr  3 11:20:36 2019, sequential_write, s, DRAM, 29, 1929609264
Wed Apr  3 11:20:36 2019, sequential_write, s, DRAM, 30, 2051472508
Wed Apr  3 11:20:36 2019, sequential_write, s, DRAM, 31, 1055049184
Wed Apr  3 11:20:36 2019, sequential_write, s, DRAM, 32, 1136954184
Wed Apr  3 11:20:36 2019, sequential_write, s, DRAM, 33, 981232230
Wed Apr  3 11:20:36 2019, sequential_write, s, DRAM, 34, 1242999534
Wed Apr  3 11:20:36 2019, sequential_write, s, DRAM, 35, 1360578856
Wed Apr  3 11:20:36 2019, sequential_write, s, DRAM, 36, 1687673562
Wed Apr  3 11:20:44 2019, random_write, p, /mnt/pmem7/copy-test, 25, 11308511430
Wed Apr  3 11:20:44 2019, random_write, s, DRAM, 26, 9093177260
Wed Apr  3 11:20:44 2019, random_write, s, DRAM, 27, 9127799324
Wed Apr  3 11:20:44 2019, random_write, s, DRAM, 28, 9273932082
Wed Apr  3 11:20:44 2019, random_write, s, DRAM, 29, 9300554824
Wed Apr  3 11:20:44 2019, random_write, s, DRAM, 30, 9179411046
Wed Apr  3 11:20:44 2019, random_write, s, DRAM, 31, 9109115816
Wed Apr  3 11:20:44 2019, random_write, s, DRAM, 32, 9122140250
Wed Apr  3 11:20:44 2019, random_write, s, DRAM, 33, 9192132458
Wed Apr  3 11:20:44 2019, random_write, s, DRAM, 34, 9363127644
Wed Apr  3 11:20:44 2019, random_write, s, DRAM, 35, 10395696314
Wed Apr  3 11:20:44 2019, random_write, s, DRAM, 36, 9624551670
Wed Apr  3 11:21:12 2019, backwards_write, p, /mnt/pmem7/copy-test, 25, 4197712320
Wed Apr  3 11:21:12 2019, backwards_write, s, DRAM, 26, 837407526
Wed Apr  3 11:21:12 2019, backwards_write, s, DRAM, 27, 1031136874
Wed Apr  3 11:21:12 2019, backwards_write, s, DRAM, 28, 965642882
Wed Apr  3 11:21:12 2019, backwards_write, s, DRAM, 29, 2750283676
Wed Apr  3 11:21:12 2019, backwards_write, s, DRAM, 30, 804234056
Wed Apr  3 11:21:12 2019, backwards_write, s, DRAM, 31, 1017451526
Wed Apr  3 11:21:12 2019, backwards_write, s, DRAM, 32, 2828328554
Wed Apr  3 11:21:12 2019, backwards_write, s, DRAM, 33, 760201990
Wed Apr  3 11:21:12 2019, backwards_write, s, DRAM, 34, 767335172
Wed Apr  3 11:21:12 2019, backwards_write, s, DRAM, 35, 772432538
Wed Apr  3 11:21:12 2019, backwards_write, s, DRAM, 36, 888199464
Wed Apr  3 11:21:14 2019, sequential_write, p, /mnt/pmem7/copy-test, 25, 3530146072
Wed Apr  3 11:21:14 2019, sequential_write, s, DRAM, 26, 1741157296
Wed Apr  3 11:21:14 2019, sequential_write, s, DRAM, 27, 1633565746
Wed Apr  3 11:21:14 2019, sequential_write, s, DRAM, 28, 1967455180
Wed Apr  3 11:21:14 2019, sequential_write, s, DRAM, 29, 2085433460
Wed Apr  3 11:21:14 2019, sequential_write, s, DRAM, 30, 2187470010
Wed Apr  3 11:21:14 2019, sequential_write, s, DRAM, 31, 1202247548
Wed Apr  3 11:21:14 2019, sequential_write, s, DRAM, 32, 1041703424
Wed Apr  3 11:21:14 2019, sequential_write, s, DRAM, 33, 1118417348
Wed Apr  3 11:21:14 2019, sequential_write, s, DRAM, 34, 1300621206
Wed Apr  3 11:21:14 2019, sequential_write, s, DRAM, 35, 1864635302
Wed Apr  3 11:21:14 2019, sequential_write, s, DRAM, 36, 1418665414
Wed Apr  3 11:21:14 2019, sequential_write, s, DRAM, 37, 1529852006
Wed Apr  3 11:21:22 2019, random_write, p, /mnt/pmem7/copy-test, 25, 11404027146
Wed Apr  3 11:21:22 2019, random_write, s, DRAM, 26, 9151106836
Wed Apr  3 11:21:22 2019, random_write, s, DRAM, 27, 9194169682
Wed Apr  3 11:21:22 2019, random_write, s, DRAM, 28, 9334229332
Wed Apr  3 11:21:22 2019, random_write, s, DRAM, 29, 9360071834
Wed Apr  3 11:21:22 2019, random_write, s, DRAM, 30, 9241530412
Wed Apr  3 11:21:22 2019, random_write, s, DRAM, 31, 9168767038
Wed Apr  3 11:21:22 2019, random_write, s, DRAM, 32, 9186708974
Wed Apr  3 11:21:22 2019, random_write, s, DRAM, 33, 9254019262
Wed Apr  3 11:21:22 2019, random_write, s, DRAM, 34, 9427149416
Wed Apr  3 11:21:22 2019, random_write, s, DRAM, 35, 9422059014
