start test Tue Nov 20 22:33:06 EST 2018
Tue Nov 20 22:36:08 2018, random_write, DRAM, p, 4, 9118974632
Tue Nov 20 22:36:08 2018, random_write, DRAM, p, 5, 9145704470
Tue Nov 20 22:36:08 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11102150988
Tue Nov 20 22:36:30 2018, backwards_write, DRAM, p, 1, 1405000854
Tue Nov 20 22:36:30 2018, backwards_write, DRAM, p, 2, 720294368
Tue Nov 20 22:36:30 2018, backwards_write, DRAM, p, 3, 721037512
Tue Nov 20 22:36:30 2018, backwards_write, DRAM, p, 4, 728173084
Tue Nov 20 22:36:30 2018, backwards_write, DRAM, p, 5, 972795128
Tue Nov 20 22:36:30 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2437561486
Tue Nov 20 22:36:35 2018, sequential_write, DRAM, p, 1, 979240492
Tue Nov 20 22:36:35 2018, sequential_write, DRAM, p, 2, 966209746
Tue Nov 20 22:36:35 2018, sequential_write, DRAM, p, 3, 974292720
Tue Nov 20 22:36:35 2018, sequential_write, DRAM, p, 4, 991890446
Tue Nov 20 22:36:35 2018, sequential_write, DRAM, p, 5, 1000911674
Tue Nov 20 22:36:35 2018, sequential_write, DRAM, p, 6, 1009818980
Tue Nov 20 22:36:35 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2258879604
Tue Nov 20 22:36:44 2018, random_write, DRAM, p, 1, 8859905654
Tue Nov 20 22:36:44 2018, random_write, DRAM, p, 2, 8948304084
Tue Nov 20 22:36:44 2018, random_write, DRAM, p, 3, 9003362162
Tue Nov 20 22:36:44 2018, random_write, DRAM, p, 4, 9132373382
Tue Nov 20 22:36:44 2018, random_write, DRAM, p, 5, 9168094672
Tue Nov 20 22:36:44 2018, random_write, DRAM, p, 6, 8953452806
Tue Nov 20 22:36:44 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11122219344
Tue Nov 20 22:37:07 2018, backwards_write, DRAM, p, 1, 729683894
Tue Nov 20 22:37:07 2018, backwards_write, DRAM, p, 2, 729493200
Tue Nov 20 22:37:07 2018, backwards_write, DRAM, p, 3, 730396974
Tue Nov 20 22:37:07 2018, backwards_write, DRAM, p, 4, 737175560
