Mon Nov 19 20:48:36 2018, sequential_write, /mnt/pmem0/copy-test, p, 6, 2754897856
Mon Nov 19 20:48:36 2018, sequential_write, DRAM, s, 20, 1533287692
Mon Nov 19 20:49:11 2018, random_write, /mnt/pmem0/copy-test, p, 1, 11089389856
Mon Nov 19 20:49:11 2018, random_write, /mnt/pmem0/copy-test, p, 2, 11203398356
Mon Nov 19 20:49:11 2018, random_write, /mnt/pmem0/copy-test, p, 3, 11231954246
Mon Nov 19 20:49:11 2018, random_write, /mnt/pmem0/copy-test, p, 4, 11381361774
Mon Nov 19 20:49:11 2018, random_write, /mnt/pmem0/copy-test, p, 5, 11412162384
Mon Nov 19 20:49:11 2018, random_write, /mnt/pmem0/copy-test, p, 6, 11193157094
Mon Nov 19 20:49:11 2018, random_write, DRAM, s, 20, 13717076920
Mon Nov 19 20:49:56 2018, backwards_write, /mnt/pmem0/copy-test, p, 1, 3563909654
Mon Nov 19 20:49:56 2018, backwards_write, /mnt/pmem0/copy-test, p, 2, 3414906246
Mon Nov 19 20:49:56 2018, backwards_write, /mnt/pmem0/copy-test, p, 3, 2723034164
Mon Nov 19 20:49:56 2018, backwards_write, /mnt/pmem0/copy-test, p, 4, 2825038730
Mon Nov 19 20:49:56 2018, backwards_write, /mnt/pmem0/copy-test, p, 5, 3216516820
Mon Nov 19 20:49:56 2018, backwards_write, /mnt/pmem0/copy-test, p, 6, 2651665972
Mon Nov 19 20:49:56 2018, backwards_write, DRAM, s, 20, 1468574158
Mon Nov 19 20:50:28 2018, sequential_write, /mnt/pmem0/copy-test, p, 1, 2949519104
Mon Nov 19 20:50:28 2018, sequential_write, /mnt/pmem0/copy-test, p, 2, 2906163252
Mon Nov 19 20:50:28 2018, sequential_write, /mnt/pmem0/copy-test, p, 3, 2939248918
Mon Nov 19 20:50:28 2018, sequential_write, /mnt/pmem0/copy-test, p, 4, 2973828852
Mon Nov 19 20:50:28 2018, sequential_write, /mnt/pmem0/copy-test, p, 5, 2991303286
Mon Nov 19 20:50:28 2018, sequential_write, /mnt/pmem0/copy-test, p, 6, 2932250232
Mon Nov 19 20:50:28 2018, sequential_write, /mnt/pmem0/copy-test, p, 7, 2919910022
Mon Nov 19 20:50:28 2018, sequential_write, DRAM, s, 20, 1545525990
Mon Nov 19 20:51:07 2018, random_write, /mnt/pmem0/copy-test, p, 1, 11275602492
Mon Nov 19 20:51:07 2018, random_write, /mnt/pmem0/copy-test, p, 2, 11349532980
Mon Nov 19 20:51:07 2018, random_write, /mnt/pmem0/copy-test, p, 3, 11424206078
Mon Nov 19 20:51:07 2018, random_write, /mnt/pmem0/copy-test, p, 4, 11545715230
Mon Nov 19 20:51:07 2018, random_write, /mnt/pmem0/copy-test, p, 5, 11582031346
Mon Nov 19 20:51:07 2018, random_write, /mnt/pmem0/copy-test, p, 6, 11375577486
Mon Nov 19 20:51:07 2018, random_write, /mnt/pmem0/copy-test, p, 7, 11361174536
Mon Nov 19 20:51:07 2018, random_write, DRAM, s, 20, 13475040050
Mon Nov 19 20:51:57 2018, backwards_write, /mnt/pmem0/copy-test, p, 1, 2819503184
Mon Nov 19 20:51:57 2018, backwards_write, /mnt/pmem0/copy-test, p, 2, 3758515880
Mon Nov 19 20:51:57 2018, backwards_write, /mnt/pmem0/copy-test, p, 3, 3227909286
Mon Nov 19 20:51:57 2018, backwards_write, /mnt/pmem0/copy-test, p, 4, 3418132304
Mon Nov 19 20:51:57 2018, backwards_write, /mnt/pmem0/copy-test, p, 5, 3621524206
Mon Nov 19 20:51:57 2018, backwards_write, /mnt/pmem0/copy-test, p, 6, 2878629648
Mon Nov 19 20:51:57 2018, backwards_write, /mnt/pmem0/copy-test, p, 7, 3065021928
Mon Nov 19 20:51:57 2018, backwards_write, DRAM, s, 20, 1332568628
Mon Nov 19 20:52:34 2018, sequential_write, /mnt/pmem0/copy-test, p, 1, 3158558804
Mon Nov 19 20:52:34 2018, sequential_write, /mnt/pmem0/copy-test, p, 2, 3164610252
Mon Nov 19 20:52:34 2018, sequential_write, /mnt/pmem0/copy-test, p, 3, 3177692752
Mon Nov 19 20:52:34 2018, sequential_write, /mnt/pmem0/copy-test, p, 4, 3204241892
Mon Nov 19 20:52:34 2018, sequential_write, /mnt/pmem0/copy-test, p, 5, 3223271174
Mon Nov 19 20:52:34 2018, sequential_write, /mnt/pmem0/copy-test, p, 6, 3187359540
Mon Nov 19 20:52:34 2018, sequential_write, /mnt/pmem0/copy-test, p, 7, 3171446088
Mon Nov 19 20:52:34 2018, sequential_write, /mnt/pmem0/copy-test, p, 8, 3148757856
Mon Nov 19 20:52:34 2018, sequential_write, DRAM, s, 20, 1574997314
Mon Nov 19 20:53:17 2018, random_write, /mnt/pmem0/copy-test, p, 1, 11400793254
Mon Nov 19 20:53:17 2018, random_write, /mnt/pmem0/copy-test, p, 2, 11490297400
Mon Nov 19 20:53:17 2018, random_write, /mnt/pmem0/copy-test, p, 3, 11537601364
Mon Nov 19 20:53:17 2018, random_write, /mnt/pmem0/copy-test, p, 4, 11663935054
Mon Nov 19 20:53:17 2018, random_write, /mnt/pmem0/copy-test, p, 5, 11705545454
Mon Nov 19 20:53:17 2018, random_write, /mnt/pmem0/copy-test, p, 6, 11488843682
Mon Nov 19 20:53:17 2018, random_write, /mnt/pmem0/copy-test, p, 7, 11482008238
Mon Nov 19 20:53:17 2018, random_write, /mnt/pmem0/copy-test, p, 8, 11523408842
Mon Nov 19 20:53:17 2018, random_write, DRAM, s, 20, 13875288502
Mon Nov 19 20:54:11 2018, backwards_write, /mnt/pmem0/copy-test, p, 1, 3045704932
Mon Nov 19 20:54:11 2018, backwards_write, /mnt/pmem0/copy-test, p, 2, 3116504200
Mon Nov 19 20:54:11 2018, backwards_write, /mnt/pmem0/copy-test, p, 3, 3874094476
Mon Nov 19 20:54:11 2018, backwards_write, /mnt/pmem0/copy-test, p, 4, 3383338692
Mon Nov 19 20:54:11 2018, backwards_write, /mnt/pmem0/copy-test, p, 5, 3229357498
Mon Nov 19 20:54:11 2018, backwards_write, /mnt/pmem0/copy-test, p, 6, 4049912454
Mon Nov 19 20:54:11 2018, backwards_write, /mnt/pmem0/copy-test, p, 7, 3684957382
Mon Nov 19 20:54:11 2018, backwards_write, /mnt/pmem0/copy-test, p, 8, 3516369992
Mon Nov 19 20:54:11 2018, backwards_write, DRAM, s, 20, 1352413776
Mon Nov 19 20:54:53 2018, sequential_write, /mnt/pmem0/copy-test, p, 1, 3478662592
Mon Nov 19 20:54:53 2018, sequential_write, /mnt/pmem0/copy-test, p, 2, 3458302656
Mon Nov 19 20:54:53 2018, sequential_write, /mnt/pmem0/copy-test, p, 3, 3468413016
Mon Nov 19 20:54:53 2018, sequential_write, /mnt/pmem0/copy-test, p, 4, 3503897746
Mon Nov 19 20:54:53 2018, sequential_write, /mnt/pmem0/copy-test, p, 5, 3528046482
Mon Nov 19 20:54:53 2018, sequential_write, /mnt/pmem0/copy-test, p, 6, 3492129548
Mon Nov 19 20:54:53 2018, sequential_write, /mnt/pmem0/copy-test, p, 7, 3449842850
Mon Nov 19 20:54:53 2018, sequential_write, /mnt/pmem0/copy-test, p, 8, 3438434360
Mon Nov 19 20:54:53 2018, sequential_write, /mnt/pmem0/copy-test, p, 9, 3429587534
Mon Nov 19 20:54:53 2018, sequential_write, DRAM, s, 20, 1556506398
Mon Nov 19 20:55:41 2018, random_write, /mnt/pmem0/copy-test, p, 1, 11590761372
Mon Nov 19 20:55:41 2018, random_write, /mnt/pmem0/copy-test, p, 2, 11665747482
Mon Nov 19 20:55:41 2018, random_write, /mnt/pmem0/copy-test, p, 3, 11725776482
Mon Nov 19 20:55:41 2018, random_write, /mnt/pmem0/copy-test, p, 4, 11852810380
Mon Nov 19 20:55:41 2018, random_write, /mnt/pmem0/copy-test, p, 5, 11918560462
Mon Nov 19 20:55:41 2018, random_write, /mnt/pmem0/copy-test, p, 6, 11685622744
Mon Nov 19 20:55:41 2018, random_write, /mnt/pmem0/copy-test, p, 7, 11684267784
Mon Nov 19 20:55:41 2018, random_write, /mnt/pmem0/copy-test, p, 8, 11711845018
Mon Nov 19 20:55:41 2018, random_write, /mnt/pmem0/copy-test, p, 9, 11741000466
Mon Nov 19 20:55:41 2018, random_write, DRAM, s, 20, 14168859344
Mon Nov 19 20:56:43 2018, backwards_write, /mnt/pmem0/copy-test, p, 1, 4289888602
Mon Nov 19 20:56:43 2018, backwards_write, /mnt/pmem0/copy-test, p, 2, 3512945958
Mon Nov 19 20:56:43 2018, backwards_write, /mnt/pmem0/copy-test, p, 3, 3360801226
Mon Nov 19 20:56:43 2018, backwards_write, /mnt/pmem0/copy-test, p, 4, 3715050926
Mon Nov 19 20:56:43 2018, backwards_write, /mnt/pmem0/copy-test, p, 5, 3994894140
Mon Nov 19 20:56:43 2018, backwards_write, /mnt/pmem0/copy-test, p, 6, 3433138910
Mon Nov 19 20:56:43 2018, backwards_write, /mnt/pmem0/copy-test, p, 7, 4455981190
Mon Nov 19 20:56:43 2018, backwards_write, /mnt/pmem0/copy-test, p, 8, 3633111034
Mon Nov 19 20:56:43 2018, backwards_write, /mnt/pmem0/copy-test, p, 9, 4131734818
Mon Nov 19 20:56:43 2018, backwards_write, DRAM, s, 20, 1501173108
Mon Nov 19 20:57:30 2018, sequential_write, /mnt/pmem0/copy-test, p, 1, 3805486870
Mon Nov 19 20:57:30 2018, sequential_write, /mnt/pmem0/copy-test, p, 2, 3813131368
Mon Nov 19 20:57:30 2018, sequential_write, /mnt/pmem0/copy-test, p, 3, 3796150140
Mon Nov 19 20:57:30 2018, sequential_write, /mnt/pmem0/copy-test, p, 4, 3874370430
Mon Nov 19 20:57:30 2018, sequential_write, /mnt/pmem0/copy-test, p, 5, 3904599656
Mon Nov 19 20:57:30 2018, sequential_write, /mnt/pmem0/copy-test, p, 6, 3827754078
Mon Nov 19 20:57:30 2018, sequential_write, /mnt/pmem0/copy-test, p, 7, 3840439832
Mon Nov 19 20:57:30 2018, sequential_write, /mnt/pmem0/copy-test, p, 8, 3776409288
Mon Nov 19 20:57:30 2018, sequential_write, /mnt/pmem0/copy-test, p, 9, 3788449910
Mon Nov 19 20:57:30 2018, sequential_write, /mnt/pmem0/copy-test, p, 10, 3854120648
Mon Nov 19 20:57:30 2018, sequential_write, DRAM, s, 20, 1558457676
Mon Nov 19 20:58:21 2018, random_write, /mnt/pmem0/copy-test, p, 1, 11834543894
Mon Nov 19 20:58:21 2018, random_write, /mnt/pmem0/copy-test, p, 2, 11890041508
Mon Nov 19 20:58:21 2018, random_write, /mnt/pmem0/copy-test, p, 3, 11948406788
Mon Nov 19 20:58:21 2018, random_write, /mnt/pmem0/copy-test, p, 4, 12076781988
Mon Nov 19 20:58:21 2018, random_write, /mnt/pmem0/copy-test, p, 5, 12111287118
Mon Nov 19 20:58:21 2018, random_write, /mnt/pmem0/copy-test, p, 6, 11919700744
Mon Nov 19 20:58:21 2018, random_write, /mnt/pmem0/copy-test, p, 7, 11905520112
Mon Nov 19 20:58:21 2018, random_write, /mnt/pmem0/copy-test, p, 8, 11935684880
Mon Nov 19 20:58:21 2018, random_write, /mnt/pmem0/copy-test, p, 9, 11962550814
Mon Nov 19 20:58:21 2018, random_write, /mnt/pmem0/copy-test, p, 10, 12115987344
Mon Nov 19 20:58:21 2018, random_write, DRAM, s, 20, 14345551928
Mon Nov 19 20:59:29 2018, backwards_write, /mnt/pmem0/copy-test, p, 1, 3734675042
Mon Nov 19 20:59:29 2018, backwards_write, /mnt/pmem0/copy-test, p, 2, 3983637468
Mon Nov 19 20:59:29 2018, backwards_write, /mnt/pmem0/copy-test, p, 3, 4360046220
Mon Nov 19 20:59:29 2018, backwards_write, /mnt/pmem0/copy-test, p, 4, 4074790550
Mon Nov 19 20:59:29 2018, backwards_write, /mnt/pmem0/copy-test, p, 5, 3837936258
Mon Nov 19 20:59:29 2018, backwards_write, /mnt/pmem0/copy-test, p, 6, 4677768560
Mon Nov 19 20:59:29 2018, backwards_write, /mnt/pmem0/copy-test, p, 7, 4515432712
Mon Nov 19 20:59:29 2018, backwards_write, /mnt/pmem0/copy-test, p, 8, 4828100934
Mon Nov 19 20:59:29 2018, backwards_write, /mnt/pmem0/copy-test, p, 9, 3653035080
Mon Nov 19 20:59:29 2018, backwards_write, /mnt/pmem0/copy-test, p, 10, 4191670124
Mon Nov 19 20:59:29 2018, backwards_write, DRAM, s, 20, 1459958218
Mon Nov 19 21:00:20 2018, sequential_write, /mnt/pmem0/copy-test, p, 1, 4232972192
Mon Nov 19 21:00:20 2018, sequential_write, /mnt/pmem0/copy-test, p, 2, 4166427156
Mon Nov 19 21:00:20 2018, sequential_write, /mnt/pmem0/copy-test, p, 3, 4217307856
Mon Nov 19 21:00:20 2018, sequential_write, /mnt/pmem0/copy-test, p, 4, 4278498428
Mon Nov 19 21:00:20 2018, sequential_write, /mnt/pmem0/copy-test, p, 5, 4316402236
Mon Nov 19 21:00:20 2018, sequential_write, /mnt/pmem0/copy-test, p, 6, 4203401242
Mon Nov 19 21:00:20 2018, sequential_write, /mnt/pmem0/copy-test, p, 7, 4194047748
Mon Nov 19 21:00:20 2018, sequential_write, /mnt/pmem0/copy-test, p, 8, 4151446700
Mon Nov 19 21:00:20 2018, sequential_write, /mnt/pmem0/copy-test, p, 9, 4171664384
Mon Nov 19 21:00:20 2018, sequential_write, /mnt/pmem0/copy-test, p, 10, 4185339730
Mon Nov 19 21:00:20 2018, sequential_write, /mnt/pmem0/copy-test, p, 11, 4253885794
