Tue Dec  4 12:41:29 2018, backwards_write, s, DRAM,16,1773411900
Tue Dec  4 12:41:33 2018, sequential_write, p, /mnt/pmem1/copy-test,1,2220537106
Tue Dec  4 12:41:33 2018, sequential_write, s, DRAM,13,1250232672
Tue Dec  4 12:41:33 2018, sequential_write, s, DRAM,14,945385764
Tue Dec  4 12:41:33 2018, sequential_write, s, DRAM,15,871109084
Tue Dec  4 12:41:33 2018, sequential_write, s, DRAM,16,1149477648
Tue Dec  4 12:41:33 2018, sequential_write, s, DRAM,17,1045799256
Tue Dec  4 12:41:42 2018, random_write, p, /mnt/pmem1/copy-test,1,10649928012
Tue Dec  4 12:41:42 2018, random_write, s, DRAM,13,8893151818
Tue Dec  4 12:41:42 2018, random_write, s, DRAM,14,8955558908
Tue Dec  4 12:41:42 2018, random_write, s, DRAM,15,8960388228
Tue Dec  4 12:41:42 2018, random_write, s, DRAM,16,9570031316
Tue Dec  4 12:41:42 2018, random_write, s, DRAM,17,9663403536
Tue Dec  4 12:42:05 2018, backwards_write, p, /mnt/pmem1/copy-test,1,2243945624
Tue Dec  4 12:42:05 2018, backwards_write, s, DRAM,13,728081992
Tue Dec  4 12:42:05 2018, backwards_write, s, DRAM,14,947487938
Tue Dec  4 12:42:05 2018, backwards_write, s, DRAM,15,1565452412
Tue Dec  4 12:42:05 2018, backwards_write, s, DRAM,16,787996650
Tue Dec  4 12:42:05 2018, backwards_write, s, DRAM,17,1614840512
Tue Dec  4 12:42:08 2018, sequential_write, p, /mnt/pmem1/copy-test,1,2222184310
Tue Dec  4 12:42:08 2018, sequential_write, s, DRAM,13,1168624740
Tue Dec  4 12:42:08 2018, sequential_write, s, DRAM,14,873067920
Tue Dec  4 12:42:08 2018, sequential_write, s, DRAM,15,956283108
Tue Dec  4 12:42:08 2018, sequential_write, s, DRAM,16,1064048500
Tue Dec  4 12:42:08 2018, sequential_write, s, DRAM,17,1287007788
Tue Dec  4 12:42:08 2018, sequential_write, s, DRAM,18,1408433118
Tue Dec  4 12:42:18 2018, random_write, p, /mnt/pmem1/copy-test,1,10671192588
Tue Dec  4 12:42:18 2018, random_write, s, DRAM,13,8916149748
Tue Dec  4 12:42:18 2018, random_write, s, DRAM,14,8975638796
Tue Dec  4 12:42:18 2018, random_write, s, DRAM,15,8980164180
Tue Dec  4 12:42:18 2018, random_write, s, DRAM,16,9138938962
Tue Dec  4 12:42:18 2018, random_write, s, DRAM,17,9787961860
Tue Dec  4 12:42:18 2018, random_write, s, DRAM,18,9537913998
Tue Dec  4 12:42:40 2018, backwards_write, p, /mnt/pmem1/copy-test,1,2217327922
Tue Dec  4 12:42:40 2018, backwards_write, s, DRAM,13,790308886
Tue Dec  4 12:42:40 2018, backwards_write, s, DRAM,14,2073780606
Tue Dec  4 12:42:40 2018, backwards_write, s, DRAM,15,1817019760
Tue Dec  4 12:42:40 2018, backwards_write, s, DRAM,16,968193236
Tue Dec  4 12:42:40 2018, backwards_write, s, DRAM,17,878459490
Tue Dec  4 12:42:40 2018, backwards_write, s, DRAM,18,743444398
Tue Dec  4 12:42:44 2018, sequential_write, p, /mnt/pmem1/copy-test,1,2218031968
Tue Dec  4 12:42:44 2018, sequential_write, s, DRAM,13,1277661294
Tue Dec  4 12:42:44 2018, sequential_write, s, DRAM,14,890805952
Tue Dec  4 12:42:44 2018, sequential_write, s, DRAM,15,1056661434
Tue Dec  4 12:42:44 2018, sequential_write, s, DRAM,16,978643874
Tue Dec  4 12:42:44 2018, sequential_write, s, DRAM,17,1173417692
Tue Dec  4 12:42:44 2018, sequential_write, s, DRAM,18,1402603732
Tue Dec  4 12:42:44 2018, sequential_write, s, DRAM,19,1504741772
Tue Dec  4 12:42:53 2018, random_write, p, /mnt/pmem1/copy-test,1,10705627330
Tue Dec  4 12:42:53 2018, random_write, s, DRAM,13,8939854382
Tue Dec  4 12:42:53 2018, random_write, s, DRAM,14,8993466794
