start test (v4) Thu Nov 29 17:41:33 EST 2018
Thu Nov 29 17:47:45 2018, backwards_write, p, DRAM, 6, 5216568988
Thu Nov 29 17:47:45 2018, backwards_write, s, /mnt/pmem1/copy-test, 23, 7374408902
Thu Nov 29 17:48:05 2018, sequential_write, p, DRAM, 1, 742459540
Thu Nov 29 17:48:05 2018, sequential_write, p, DRAM, 2, 741345048
Thu Nov 29 17:48:05 2018, sequential_write, p, DRAM, 3, 741627612
Thu Nov 29 17:48:05 2018, sequential_write, p, DRAM, 4, 747919382
Thu Nov 29 17:48:05 2018, sequential_write, p, DRAM, 5, 751340676
Thu Nov 29 17:48:05 2018, sequential_write, p, DRAM, 6, 744607522
Thu Nov 29 17:48:05 2018, sequential_write, p, DRAM, 7, 741520606
Thu Nov 29 17:48:05 2018, sequential_write, s, /mnt/pmem1/copy-test, 23, 2362671224
Thu Nov 29 17:48:14 2018, random_write, p, DRAM, 1, 9334102158
Thu Nov 29 17:48:14 2018, random_write, p, DRAM, 2, 9393437838
Thu Nov 29 17:48:14 2018, random_write, p, DRAM, 3, 9489018134
Thu Nov 29 17:48:14 2018, random_write, p, DRAM, 4, 9553330006
Thu Nov 29 17:48:14 2018, random_write, p, DRAM, 5, 9575696830
Thu Nov 29 17:48:14 2018, random_write, p, DRAM, 6, 9424071302
Thu Nov 29 17:48:14 2018, random_write, p, DRAM, 7, 9404324642
Thu Nov 29 17:48:14 2018, random_write, s, /mnt/pmem1/copy-test, 23, 11835342030
Thu Nov 29 17:48:39 2018, backwards_write, p, DRAM, 1, 5215394566
Thu Nov 29 17:48:39 2018, backwards_write, p, DRAM, 2, 5216120656
Thu Nov 29 17:48:39 2018, backwards_write, p, DRAM, 3, 5216835012
Thu Nov 29 17:48:39 2018, backwards_write, p, DRAM, 4, 5216362842
Thu Nov 29 17:48:39 2018, backwards_write, p, DRAM, 5, 5217751312
Thu Nov 29 17:48:39 2018, backwards_write, p, DRAM, 6, 5216959924
Thu Nov 29 17:48:39 2018, backwards_write, p, DRAM, 7, 5214182558
Thu Nov 29 17:48:39 2018, backwards_write, s, /mnt/pmem1/copy-test, 23, 7382808414
Thu Nov 29 17:49:02 2018, sequential_write, p, DRAM, 1, 751116896
Thu Nov 29 17:49:02 2018, sequential_write, p, DRAM, 2, 751050442
Thu Nov 29 17:49:02 2018, sequential_write, p, DRAM, 3, 751094160
Thu Nov 29 17:49:02 2018, sequential_write, p, DRAM, 4, 757640574
Thu Nov 29 17:49:02 2018, sequential_write, p, DRAM, 5, 760568098
Thu Nov 29 17:49:02 2018, sequential_write, p, DRAM, 6, 754602920
Thu Nov 29 17:49:02 2018, sequential_write, p, DRAM, 7, 751369428
Thu Nov 29 17:49:02 2018, sequential_write, p, DRAM, 8, 746798802
Thu Nov 29 17:49:02 2018, sequential_write, s, /mnt/pmem1/copy-test, 23, 2270771196
Thu Nov 29 17:49:10 2018, random_write, p, DRAM, 1, 9361992542
Thu Nov 29 17:49:10 2018, random_write, p, DRAM, 2, 9431690058
Thu Nov 29 17:49:10 2018, random_write, p, DRAM, 3, 9470895936
Thu Nov 29 17:49:10 2018, random_write, p, DRAM, 4, 9572616502
Thu Nov 29 17:49:10 2018, random_write, p, DRAM, 5, 9605557952
Thu Nov 29 17:49:10 2018, random_write, p, DRAM, 6, 9453197282
Thu Nov 29 17:49:10 2018, random_write, p, DRAM, 7, 9434399782
Thu Nov 29 17:49:10 2018, random_write, p, DRAM, 8, 9466813456
Thu Nov 29 17:49:10 2018, random_write, s, /mnt/pmem1/copy-test, 23, 11507899162
Thu Nov 29 17:49:36 2018, backwards_write, p, DRAM, 1, 5215972054
