start test (v6) Mon Apr 1 12:04:31 EDT 2019
Mon Apr  1 12:15:41 2019, backwards_write, s, DRAM, 2, 1378522316
Mon Apr  1 12:15:42 2019, sequential_write, s, DRAM, 2, 804307766
Mon Apr  1 12:15:48 2019, random_write, s, DRAM, 2, 9225374666
Mon Apr  1 12:16:07 2019, backwards_write, s, DRAM, 2, 1381309744
Mon Apr  1 12:16:08 2019, sequential_write, s, DRAM, 2, 804491960
Mon Apr  1 12:16:14 2019, random_write, s, DRAM, 2, 9207658492
Mon Apr  1 12:16:33 2019, backwards_write, s, DRAM, 2, 1383945902
Mon Apr  1 12:16:33 2019, sequential_write, s, DRAM, 2, 804163710
Mon Apr  1 12:16:40 2019, random_write, s, DRAM, 2, 9229422088
Mon Apr  1 12:16:58 2019, backwards_write, s, DRAM, 2, 1383865752
Mon Apr  1 12:16:59 2019, sequential_write, s, DRAM, 2, 803619658
Mon Apr  1 12:17:06 2019, random_write, s, DRAM, 2, 9232234308
Mon Apr  1 12:17:24 2019, backwards_write, s, DRAM, 2, 1384246416
Mon Apr  1 12:17:25 2019, sequential_write, s, DRAM, 2, 804844994
Mon Apr  1 12:17:31 2019, random_write, s, DRAM, 2, 9233058886
Mon Apr  1 12:17:50 2019, backwards_write, s, DRAM, 2, 1385301094
Mon Apr  1 12:17:51 2019, sequential_write, s, DRAM, 2, 805549650
Mon Apr  1 12:17:57 2019, random_write, s, DRAM, 2, 9223449220
Mon Apr  1 12:18:16 2019, backwards_write, s, DRAM, 2, 1382068054
Mon Apr  1 12:18:17 2019, sequential_write, s, DRAM, 2, 803645616
Mon Apr  1 12:18:23 2019, random_write, s, DRAM, 2, 9230218992
Mon Apr  1 12:18:42 2019, backwards_write, s, DRAM, 2, 1382008124
Mon Apr  1 12:18:42 2019, sequential_write, s, DRAM, 2, 805800546
Mon Apr  1 12:18:49 2019, random_write, s, DRAM, 2, 9227812536
Mon Apr  1 12:19:07 2019, backwards_write, s, DRAM, 2, 1376387986
Mon Apr  1 12:19:08 2019, sequential_write, s, DRAM, 2, 804664156
Mon Apr  1 12:19:15 2019, random_write, s, DRAM, 2, 9227541176
Mon Apr  1 12:19:33 2019, backwards_write, s, DRAM, 2, 1385020144
Mon Apr  1 12:19:34 2019, sequential_write, s, DRAM, 2, 803746574
Mon Apr  1 12:19:41 2019, random_write, s, DRAM, 2, 9230083598
Mon Apr  1 12:19:59 2019, backwards_write, s, DRAM, 2, 1384375826
Mon Apr  1 12:20:00 2019, sequential_write, s, DRAM, 2, 804970056
Mon Apr  1 12:20:06 2019, random_write, s, DRAM, 2, 9228220014
Mon Apr  1 12:20:25 2019, backwards_write, s, DRAM, 2, 1378090380
Mon Apr  1 12:20:26 2019, sequential_write, s, DRAM, 2, 803433804
Mon Apr  1 12:20:32 2019, random_write, s, DRAM, 2, 9232759514
Mon Apr  1 12:20:51 2019, backwards_write, s, DRAM, 2, 1382979082
Mon Apr  1 12:20:52 2019, sequential_write, s, DRAM, 2, 805107678
Mon Apr  1 12:20:58 2019, random_write, s, DRAM, 2, 9233399186
Mon Apr  1 12:21:17 2019, backwards_write, s, DRAM, 2, 1385432960
Mon Apr  1 12:21:17 2019, sequential_write, s, DRAM, 2, 805106998
Mon Apr  1 12:21:24 2019, random_write, s, DRAM, 2, 9225296900
Mon Apr  1 12:21:42 2019, backwards_write, s, DRAM, 2, 1385618662
Mon Apr  1 12:21:43 2019, sequential_write, s, DRAM, 2, 804327264
Mon Apr  1 12:21:50 2019, random_write, s, DRAM, 2, 9232068636
Mon Apr  1 12:22:08 2019, backwards_write, s, DRAM, 2, 1382455962
end test Mon Apr 1 12:22:08 EDT 2019
