Sun Nov 25 10:20:51 2018, backwards_write, DRAM, p, 1, 730002498
Sun Nov 25 10:20:51 2018, backwards_write, DRAM, p, 2, 1470142858
Sun Nov 25 10:20:51 2018, backwards_write, DRAM, p, 3, 730287932
Sun Nov 25 10:20:51 2018, backwards_write, DRAM, p, 4, 736975946
Sun Nov 25 10:20:51 2018, backwards_write, DRAM, p, 5, 741709092
Sun Nov 25 10:20:51 2018, backwards_write, DRAM, p, 6, 733024714
Sun Nov 25 10:20:51 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2573643484
Sun Nov 25 10:20:56 2018, sequential_write, DRAM, p, 1, 1038305198
Sun Nov 25 10:20:56 2018, sequential_write, DRAM, p, 2, 997248342
Sun Nov 25 10:20:56 2018, sequential_write, DRAM, p, 3, 1013191194
Sun Nov 25 10:20:56 2018, sequential_write, DRAM, p, 4, 1022995204
Sun Nov 25 10:20:56 2018, sequential_write, DRAM, p, 5, 1050823680
Sun Nov 25 10:20:56 2018, sequential_write, DRAM, p, 6, 1028948074
Sun Nov 25 10:20:56 2018, sequential_write, DRAM, p, 7, 1003755578
Sun Nov 25 10:20:56 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2272977128
Sun Nov 25 10:21:05 2018, random_write, DRAM, p, 1, 8882358772
Sun Nov 25 10:21:05 2018, random_write, DRAM, p, 2, 8972152036
Sun Nov 25 10:21:05 2018, random_write, DRAM, p, 3, 9025576494
Sun Nov 25 10:21:05 2018, random_write, DRAM, p, 4, 9154595648
Sun Nov 25 10:21:05 2018, random_write, DRAM, p, 5, 9187294348
Sun Nov 25 10:21:05 2018, random_write, DRAM, p, 6, 8973623482
Sun Nov 25 10:21:05 2018, random_write, DRAM, p, 7, 8969648322
Sun Nov 25 10:21:05 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11157389954
Sun Nov 25 10:21:28 2018, backwards_write, DRAM, p, 1, 741524466
Sun Nov 25 10:21:28 2018, backwards_write, DRAM, p, 2, 741126048
Sun Nov 25 10:21:28 2018, backwards_write, DRAM, p, 3, 741669970
Sun Nov 25 10:21:28 2018, backwards_write, DRAM, p, 4, 748713462
Sun Nov 25 10:21:28 2018, backwards_write, DRAM, p, 5, 752279730
Sun Nov 25 10:21:28 2018, backwards_write, DRAM, p, 6, 744522370
Sun Nov 25 10:21:28 2018, backwards_write, DRAM, p, 7, 741657346
Sun Nov 25 10:21:28 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2579852520
Sun Nov 25 10:21:32 2018, sequential_write, DRAM, p, 1, 1045135496
Sun Nov 25 10:21:32 2018, sequential_write, DRAM, p, 2, 1011075026
Sun Nov 25 10:21:32 2018, sequential_write, DRAM, p, 3, 996015202
Sun Nov 25 10:21:32 2018, sequential_write, DRAM, p, 4, 1042871256
Sun Nov 25 10:21:32 2018, sequential_write, DRAM, p, 5, 1066871144
Sun Nov 25 10:21:32 2018, sequential_write, DRAM, p, 6, 1028810578
Sun Nov 25 10:21:32 2018, sequential_write, DRAM, p, 7, 1016842080
Sun Nov 25 10:21:32 2018, sequential_write, DRAM, p, 8, 1003891792
Sun Nov 25 10:21:32 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2264476414
Sun Nov 25 10:21:42 2018, random_write, DRAM, p, 1, 8910299532
Sun Nov 25 10:21:42 2018, random_write, DRAM, p, 2, 8991943602
Sun Nov 25 10:21:42 2018, random_write, DRAM, p, 3, 9050160210
Sun Nov 25 10:21:42 2018, random_write, DRAM, p, 4, 9174290740
Sun Nov 25 10:21:42 2018, random_write, DRAM, p, 5, 9205562922
Sun Nov 25 10:21:42 2018, random_write, DRAM, p, 6, 9003507992
Sun Nov 25 10:21:42 2018, random_write, DRAM, p, 7, 8996668358
Sun Nov 25 10:21:42 2018, random_write, DRAM, p, 8, 9038266520
Sun Nov 25 10:21:42 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11184699950
Sun Nov 25 10:22:05 2018, backwards_write, DRAM, p, 1, 751226482
Sun Nov 25 10:22:05 2018, backwards_write, DRAM, p, 2, 750211574
Sun Nov 25 10:22:05 2018, backwards_write, DRAM, p, 3, 750712230
Sun Nov 25 10:22:05 2018, backwards_write, DRAM, p, 4, 757151874
Sun Nov 25 10:22:05 2018, backwards_write, DRAM, p, 5, 762057320
Sun Nov 25 10:22:05 2018, backwards_write, DRAM, p, 6, 753896658
Sun Nov 25 10:22:05 2018, backwards_write, DRAM, p, 7, 750827448
Sun Nov 25 10:22:05 2018, backwards_write, DRAM, p, 8, 747275114
Sun Nov 25 10:22:05 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2250646560
Sun Nov 25 10:22:10 2018, sequential_write, DRAM, p, 1, 1067766732
Sun Nov 25 10:22:10 2018, sequential_write, DRAM, p, 2, 1048919188
Sun Nov 25 10:22:10 2018, sequential_write, DRAM, p, 3, 1039644570
Sun Nov 25 10:22:10 2018, sequential_write, DRAM, p, 4, 1096873852
Sun Nov 25 10:22:10 2018, sequential_write, DRAM, p, 5, 1123837992
Sun Nov 25 10:22:10 2018, sequential_write, DRAM, p, 6, 1080546892
Sun Nov 25 10:22:10 2018, sequential_write, DRAM, p, 7, 1058671252
Sun Nov 25 10:22:10 2018, sequential_write, DRAM, p, 8, 1041316342
Sun Nov 25 10:22:10 2018, sequential_write, DRAM, p, 9, 1029324038
Sun Nov 25 10:22:10 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2271679226
Sun Nov 25 10:22:19 2018, random_write, DRAM, p, 1, 8936923182
Sun Nov 25 10:22:19 2018, random_write, DRAM, p, 2, 9019871362
Sun Nov 25 10:22:19 2018, random_write, DRAM, p, 3, 9072593556
Sun Nov 25 10:22:19 2018, random_write, DRAM, p, 4, 9198054138
Sun Nov 25 10:22:19 2018, random_write, DRAM, p, 5, 9228837456
Sun Nov 25 10:22:19 2018, random_write, DRAM, p, 6, 9030753242
Sun Nov 25 10:22:19 2018, random_write, DRAM, p, 7, 9022920690
Sun Nov 25 10:22:19 2018, random_write, DRAM, p, 8, 9067215142
Sun Nov 25 10:22:19 2018, random_write, DRAM, p, 9, 9093338814
Sun Nov 25 10:22:19 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11216272892
Sun Nov 25 10:22:44 2018, backwards_write, DRAM, p, 1, 763302250
Sun Nov 25 10:22:44 2018, backwards_write, DRAM, p, 2, 762259144
Sun Nov 25 10:22:44 2018, backwards_write, DRAM, p, 3, 762699872
Sun Nov 25 10:22:44 2018, backwards_write, DRAM, p, 4, 768967950
Sun Nov 25 10:22:44 2018, backwards_write, DRAM, p, 5, 772738578
Sun Nov 25 10:22:44 2018, backwards_write, DRAM, p, 6, 766050370
Sun Nov 25 10:22:44 2018, backwards_write, DRAM, p, 7, 763212212
Sun Nov 25 10:22:44 2018, backwards_write, DRAM, p, 8, 759692000
Sun Nov 25 10:22:44 2018, backwards_write, DRAM, p, 9, 758246470
Sun Nov 25 10:22:44 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2229261250
Sun Nov 25 10:22:49 2018, sequential_write, DRAM, p, 1, 1146330518
Sun Nov 25 10:22:49 2018, sequential_write, DRAM, p, 2, 1055951530
Sun Nov 25 10:22:49 2018, sequential_write, DRAM, p, 3, 1065088574
Sun Nov 25 10:22:49 2018, sequential_write, DRAM, p, 4, 1080865662
Sun Nov 25 10:22:49 2018, sequential_write, DRAM, p, 5, 1125465290
Sun Nov 25 10:22:49 2018, sequential_write, DRAM, p, 6, 1107704358
Sun Nov 25 10:22:49 2018, sequential_write, DRAM, p, 7, 1084384696
Sun Nov 25 10:22:49 2018, sequential_write, DRAM, p, 8, 1047470624
Sun Nov 25 10:22:49 2018, sequential_write, DRAM, p, 9, 1071166094
Sun Nov 25 10:22:49 2018, sequential_write, DRAM, p, 10, 1095939728
Sun Nov 25 10:22:49 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2270217868
Sun Nov 25 10:22:58 2018, random_write, DRAM, p, 1, 8969985312
Sun Nov 25 10:22:58 2018, random_write, DRAM, p, 2, 9053884806
Sun Nov 25 10:22:58 2018, random_write, DRAM, p, 3, 9104063474
Sun Nov 25 10:22:58 2018, random_write, DRAM, p, 4, 9227941178
Sun Nov 25 10:22:58 2018, random_write, DRAM, p, 5, 9258091794
Sun Nov 25 10:22:58 2018, random_write, DRAM, p, 6, 9061589748
Sun Nov 25 10:22:58 2018, random_write, DRAM, p, 7, 9059429796
Sun Nov 25 10:22:58 2018, random_write, DRAM, p, 8, 9094765698
Sun Nov 25 10:22:58 2018, random_write, DRAM, p, 9, 9127190612
Sun Nov 25 10:22:58 2018, random_write, DRAM, p, 10, 9273540472
Sun Nov 25 10:22:58 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11262645426
Sun Nov 25 10:23:25 2018, backwards_write, DRAM, p, 1, 775250434
Sun Nov 25 10:23:25 2018, backwards_write, DRAM, p, 2, 774009660
Sun Nov 25 10:23:25 2018, backwards_write, DRAM, p, 3, 775712108
Sun Nov 25 10:23:25 2018, backwards_write, DRAM, p, 4, 781077488
Sun Nov 25 10:23:25 2018, backwards_write, DRAM, p, 5, 785019094
Sun Nov 25 10:23:25 2018, backwards_write, DRAM, p, 6, 777870364
Sun Nov 25 10:23:25 2018, backwards_write, DRAM, p, 7, 775499534
Sun Nov 25 10:23:25 2018, backwards_write, DRAM, p, 8, 770918890
Sun Nov 25 10:23:25 2018, backwards_write, DRAM, p, 9, 769437084
Sun Nov 25 10:23:25 2018, backwards_write, DRAM, p, 10, 776244432
Sun Nov 25 10:23:25 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2235704162
Sun Nov 25 10:23:30 2018, sequential_write, DRAM, p, 1, 1194950216
Sun Nov 25 10:23:30 2018, sequential_write, DRAM, p, 2, 1089586740
Sun Nov 25 10:23:30 2018, sequential_write, DRAM, p, 3, 1099477340
Sun Nov 25 10:23:30 2018, sequential_write, DRAM, p, 4, 1117014630
Sun Nov 25 10:23:30 2018, sequential_write, DRAM, p, 5, 1183208954
Sun Nov 25 10:23:30 2018, sequential_write, DRAM, p, 6, 1120310332
Sun Nov 25 10:23:30 2018, sequential_write, DRAM, p, 7, 1150868932
Sun Nov 25 10:23:30 2018, sequential_write, DRAM, p, 8, 1074198784
Sun Nov 25 10:23:30 2018, sequential_write, DRAM, p, 9, 1079564748
Sun Nov 25 10:23:30 2018, sequential_write, DRAM, p, 10, 1139055262
Sun Nov 25 10:23:30 2018, sequential_write, DRAM, p, 11, 1230874670
Sun Nov 25 10:23:30 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2277060622
Sun Nov 25 10:23:40 2018, random_write, DRAM, p, 1, 9076940620
